epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1048.31,0.73943,0.62246,1.15034,0.88637,0.64326,0.7164,0.41073,0.96952,0.70681,1.07776,0.000671044,0.000671044,0.000671044
42,1065.78,0.74065,0.60148,1.14361,0.85465,0.67216,0.74754,0.40518,1.04828,0.74109,1.10454,0.000660045,0.000660045,0.000660045
43,1083.36,0.75579,0.60322,1.13694,0.71217,0.76429,0.75719,0.44125,0.91876,0.65529,1.02643,0.000649046,0.000649046,0.000649046
44,1100.98,0.71284,0.58492,1.13556,0.90899,0.67325,0.77016,0.45553,0.95685,0.63547,1.06839,0.000638047,0.000638047,0.000638047
45,1118.78,0.73678,0.64158,1.14379,0.93783,0.66511,0.74991,0.42759,1.06048,0.66981,1.15844,0.000627048,0.000627048,0.000627048
46,1136.47,0.71622,0.56178,1.12958,0.88894,0.72105,0.78787,0.44065,1.0037,0.62272,1.11329,0.000616049,0.000616049,0.000616049
47,1154.22,0.71468,0.56131,1.13755,0.86961,0.67524,0.7689,0.44576,0.92542,0.60194,1.03435,0.000605051,0.000605051,0.000605051
48,1171.89,0.71806,0.55513,1.12593,0.87703,0.71147,0.7395,0.42428,0.90192,0.65243,1.03173,0.000594052,0.000594052,0.000594052
49,1189.74,0.69686,0.55187,1.13385,0.91829,0.70997,0.74306,0.43248,0.86952,0.65716,1.01386,0.000583053,0.000583053,0.000583053
50,1207.86,0.70287,0.57462,1.12312,0.92148,0.69903,0.77249,0.46025,0.87104,0.53542,0.99306,0.000572054,0.000572054,0.000572054
51,1225.22,0.69678,0.53567,1.11087,0.8477,0.70734,0.76335,0.44004,0.87655,0.62417,1.00366,0.000561055,0.000561055,0.000561055
52,1242.68,0.69678,0.54648,1.10967,0.93262,0.72857,0.78088,0.43614,1.0385,0.62549,1.09329,0.000550056,0.000550056,0.000550056
53,1260.13,0.69226,0.5361,1.12274,0.72563,0.81689,0.76658,0.44548,1.04116,0.56875,1.09882,0.000539057,0.000539057,0.000539057
54,1277.62,0.6916,0.52666,1.12225,0.66268,0.74729,0.78782,0.46554,0.9251,0.57707,1.04493,0.000528058,0.000528058,0.000528058
55,1295.34,0.70215,0.5258,1.10579,0.7607,0.79286,0.81682,0.49497,0.85031,0.51523,0.99794,0.000517059,0.000517059,0.000517059
56,1313.14,0.67137,0.51309,1.08268,0.94091,0.72678,0.76836,0.46122,0.88709,0.52787,1.00069,0.00050606,0.00050606,0.00050606
57,1330.62,0.69732,0.52927,1.10435,0.9277,0.69223,0.74595,0.46429,0.8579,0.54795,0.99599,0.000495062,0.000495062,0.000495062
58,1348.44,0.67086,0.51921,1.10389,0.92463,0.71395,0.75117,0.48893,0.83529,0.51927,0.9701,0.000484063,0.000484063,0.000484063
59,1365.93,0.68895,0.51473,1.10672,0.92422,0.68737,0.7604,0.46713,0.87755,0.58171,1.01049,0.000473064,0.000473064,0.000473064
60,1383.73,0.66976,0.5101,1.09455,0.89318,0.71923,0.72157,0.47847,0.90266,0.57315,0.99634,0.000462065,0.000462065,0.000462065
61,1401.54,0.66379,0.51068,1.08863,0.65698,0.79286,0.74088,0.47099,0.90856,0.5588,1.007,0.000451066,0.000451066,0.000451066
62,1418.89,0.65249,0.50751,1.08296,0.95629,0.71429,0.75185,0.47361,0.87484,0.52266,0.98646,0.000440067,0.000440067,0.000440067
63,1436.48,0.6721,0.50712,1.10861,0.95988,0.69445,0.74692,0.48738,0.8784,0.53192,1.02272,0.000429068,0.000429068,0.000429068
64,1453.4,0.63972,0.47794,1.07431,0.93154,0.72857,0.75533,0.49572,0.90908,0.50856,1.0104,0.000418069,0.000418069,0.000418069
65,1470.35,0.63074,0.46481,1.06422,0.91056,0.6989,0.7514,0.49751,0.78164,0.49092,0.95549,0.00040707,0.00040707,0.00040707
66,1487.01,0.63234,0.48873,1.06213,0.94005,0.71394,0.7635,0.49056,0.83058,0.51971,0.99361,0.000396071,0.000396071,0.000396071
67,1503.73,0.65321,0.46966,1.08834,0.71792,0.76429,0.75701,0.49416,0.78741,0.49355,0.96439,0.000385073,0.000385073,0.000385073
68,1520.43,0.6335,0.47212,1.07526,0.76489,0.80714,0.77992,0.50414,0.70598,0.47757,0.9168,0.000374074,0.000374074,0.000374074
69,1537.05,0.62814,0.46152,1.05561,0.7248,0.82143,0.78327,0.50098,0.72545,0.48089,0.92641,0.000363075,0.000363075,0.000363075
70,1553.73,0.64174,0.4649,1.07199,0.66612,0.80714,0.77262,0.49012,0.80182,0.51869,0.99403,0.000352076,0.000352076,0.000352076
71,1570.28,0.63086,0.4644,1.05974,0.72749,0.80052,0.77144,0.48039,0.89438,0.49076,1.00988,0.000341077,0.000341077,0.000341077
72,1586.92,0.62564,0.46288,1.07533,0.76028,0.80714,0.78744,0.50903,0.78999,0.45542,0.94446,0.000330078,0.000330078,0.000330078
73,1603.46,0.61693,0.45563,1.06557,0.77455,0.85714,0.82555,0.51598,0.7504,0.45129,0.93264,0.000319079,0.000319079,0.000319079
74,1619.87,0.61467,0.44513,1.05169,0.81002,0.77189,0.78843,0.50081,0.79004,0.48142,0.94696,0.00030808,0.00030808,0.00030808
75,1636.38,0.6428,0.46414,1.06638,0.76165,0.79286,0.81766,0.50752,0.80317,0.49863,0.96585,0.000297081,0.000297081,0.000297081
76,1652.97,0.60601,0.46128,1.0543,0.78959,0.76457,0.77463,0.50829,0.75735,0.47062,0.95347,0.000286083,0.000286083,0.000286083
77,1669.41,0.62097,0.46558,1.04769,0.75186,0.81178,0.76995,0.50602,0.81757,0.47038,0.96109,0.000275084,0.000275084,0.000275084
78,1685.74,0.5847,0.44428,1.03033,0.93663,0.74749,0.77125,0.51889,0.74758,0.44019,0.91786,0.000264085,0.000264085,0.000264085
79,1702.28,0.60972,0.44718,1.04536,0.95076,0.75002,0.77661,0.5105,0.73937,0.46057,0.92036,0.000253086,0.000253086,0.000253086
80,1718.89,0.58825,0.42694,1.0416,0.92312,0.7462,0.78084,0.49919,0.81181,0.45311,0.94658,0.000242087,0.000242087,0.000242087
81,1735.4,0.60346,0.44124,1.04692,0.95759,0.71027,0.78421,0.50544,0.73867,0.45617,0.91644,0.000231088,0.000231088,0.000231088
82,1752,0.59286,0.42339,1.04071,0.94485,0.74515,0.79082,0.53504,0.77032,0.43968,0.93272,0.000220089,0.000220089,0.000220089
83,1768.57,0.58111,0.42243,1.0273,0.70518,0.87143,0.78378,0.5097,0.79157,0.44425,0.94208,0.00020909,0.00020909,0.00020909
84,1785.29,0.58559,0.4348,1.04028,0.73936,0.75584,0.77171,0.516,0.74325,0.44745,0.90896,0.000198091,0.000198091,0.000198091
85,1801.8,0.58094,0.42207,1.03167,0.95191,0.77143,0.77608,0.52854,0.70747,0.43478,0.90688,0.000187092,0.000187092,0.000187092
86,1818.22,0.58279,0.42627,1.03135,0.95324,0.76971,0.78845,0.52991,0.74344,0.43907,0.92285,0.000176094,0.000176094,0.000176094
87,1834.68,0.56684,0.41695,1.02378,0.94478,0.74935,0.77529,0.51451,0.71696,0.43329,0.90159,0.000165095,0.000165095,0.000165095
88,1851.21,0.58149,0.42937,1.03902,0.95871,0.7657,0.79152,0.5293,0.76842,0.4326,0.91279,0.000154096,0.000154096,0.000154096
89,1867.69,0.56234,0.42401,1.01943,0.95274,0.7552,0.80566,0.54072,0.69,0.41544,0.89494,0.000143097,0.000143097,0.000143097
90,1884.19,0.54931,0.39314,1.03052,0.93413,0.76365,0.77859,0.55088,0.63544,0.39269,0.86684,0.000132098,0.000132098,0.000132098
91,1901,0.53396,0.38871,0.99824,0.9598,0.74286,0.78317,0.55422,0.69606,0.38837,0.88543,0.000121099,0.000121099,0.000121099
92,1917.55,0.53181,0.39573,0.99234,0.70347,0.87143,0.8249,0.55241,0.63962,0.40177,0.87871,0.0001101,0.0001101,0.0001101
93,1934.01,0.53703,0.38662,1.00232,0.73897,0.87084,0.81277,0.55038,0.63839,0.4161,0.88376,9.91012e-05,9.91012e-05,9.91012e-05
94,1950.45,0.55554,0.39935,1.01155,0.71095,0.82143,0.79097,0.53805,0.63906,0.41167,0.87754,8.81023e-05,8.81023e-05,8.81023e-05
